"word","totaal_aantal"
"ophogingslaag","8397"
"ophogingslagen","4333"
"tuin","2232"
"mestkuil","1896"
"mest","1420"
"akkerlaag","1417"
"boerderij","1355"
"esdek","1128"
"agrarische","1082"
"opslag","1002"
"haksporen","984"
"tuinen","839"
"schep","837"
"ophooglagen","806"
"bloempot","805"
"tuinmuur","797"
"ophooglaag","699"
"vee","679"
"stal","641"
"groenten","633"
"mestkuilen","607"
"boerderijen","466"
"moestuinen","464"
"hazelaar","439"
"hop","431"
"landbouw","411"
"brassica","401"
"chenopodium","394"
"park","387"
"agrarisch","377"
"landelijk","351"
"corylus","348"
"stro","334"
"akkerbouw","289"
"vicia","282"
"boomgaard","257"
"spitsporen","240"
"groente","239"
"ploegspoor","237"
"bemesting","235"
"stallen","234"
"atriplex","219"
"bloempotten","214"
"vijver","213"
"papaver","206"
"achtertuin","200"
"beta","190"
"gekweekt","181"
"voer","179"
"fragaria","179"
"moestuin","178"
"gaard","169"
"raphanus","164"
"juglans","163"
"mestschimmels","156"
"veeteelt","153"
"ploegsporen","151"
"cannabis","146"
"hooi","143"
"moesbed","140"
"braakliggend","133"
"anthemis","129"
"humulus","126"
"tuinbouw","118"
"coriandrum","115"
"landbouwgrond","115"
"paardenstal","111"
"teelt","110"
"boomgaarden","109"
"tuinaarde","109"
"artemisia","105"
"meent","102"
"foeniculum","100"
"spitspoor","100"
"eergetouw","99"
"bommel","96"
"pisum","93"
"anthriscus","93"
"akkerlagen","92"
"stadsboerderij","88"
"mestschimmel","88"
"ploegen","86"
"valerianella","82"
"cucumis","81"
"weidegrond","80"
"hooiland","78"
"apium","77"
"veevoer","75"
"stalling","74"
"stalmest","72"
"tuinhuis","70"
"ploegkrassen","67"
"ploeg","65"
"hooiberg","63"
"oranjerie","63"
"hoefindruk","63"
"tuinaanleg","63"
"diergraf","61"
"braakliggende","60"
"achtertuinen","59"
"anethum","56"
"pimpinella","54"
"moerneringskuilen","52"
"hooilanden","52"
"binnentuin","51"
"bemest","50"
"portulaca","50"
"bijenkorf","50"
"tuinbouwproducten","49"
"hyoscyamus","47"
"fruitteelt","47"
"hooibergen","47"
"doodgeboren","46"
"kooi","46"
"neonaat","45"
"plantage","44"
"fuiken","40"
"fruitbomen","40"
"daucus","39"
"wijngaard","38"
"begraasd","38"
"moesbedden","37"
"gaffel","37"
"begrazing","35"
"moestuinbedden","34"
"plantgaten","33"
"grondbewerking","33"
"siertuin","33"
"tuinman","32"
"kassen","31"
"hoefindrukken","31"
"kruidentuin","30"
"boerenbedrijf","30"
"tuinafval","30"
"stadsweiden","29"
"schaapskooi","29"
"foetus","29"
"foetale","29"
"hooivork","26"
"bemesten","26"
"pastinaca","26"
"diergraven","25"
"stadsweide","25"
"telen","25"
"landbouwareaal","25"
"mient","25"
"hyssopus","24"
"hengel","24"
"trog","24"
"physalis","23"
"vogelkooi","22"
"siertuinen","22"
"petroselinum","21"
"verbena","20"
"roedenbergen","20"
"valeriana","20"
"foetaal","19"
"veekraal","19"
"veehouderij","19"
"lepidium","19"
"plantgat","19"
"satureja","18"
"stadsboerderijen","18"
"stadstuinen","17"
"kwekerij","17"
"drenkplaats","17"
"mestvaalt","17"
"rundergraf","16"
"eendenkooi","16"
"tuinslak","15"
"koeienstal","15"
"cucurbita","15"
"neonaten","14"
"gieter","13"
"dorsvlegel","12"
"binnentuinen","11"
"wijnbouw","11"
"hark","11"
"druiventeelt","11"
"tuinhuizen","11"
"lactuca","10"
"hoefafdruk","10"
"stalfunctie","10"
"drinkbak","9"
"broeibedden","9"
"nepeta","9"
"ruta","9"
"lusthoven","9"
"hypericum","9"
"kooien","8"
"veestalling","8"
"boerenbedrijven","7"
"tuinpot","7"
"hopplanten","7"
"bijenkorven","7"
"voedergewas","7"
"moestuinbed","7"
"wijnrank","7"
"gaert","7"
"hoefafdrukken","7"
"appelboom","7"
"groentetuin","7"
"raapkoek","6"
"koehuis","6"
"lusthof","6"
"groenteteelt","6"
"kweekvijvers","6"
"viburnum","5"
"nijverheidsgewassen","5"
"origanum","5"
"inkuilen","5"
"veekralen","5"
"walnootbomen","5"
"fruitboom","5"
"snoeiafval","5"
"stadstuin","5"
"rosmarinus","4"
"thymus","4"
"hopplant","4"
"kweekbedden","4"
"tuinpotten","4"
"stalafval","4"
"oogstafval","4"
"broeibed","4"
"symphytum","4"
"silybum","4"
"leonurus","4"
"ploegschoen","4"
"perenbomen","3"
"broeien","3"
"fruitboomgaard","3"
"verwerkingsafval","3"
"kwekerijen","3"
"bongerd","3"
"notenboom","3"
"raapkoeken","3"
"stadsakker","3"
"tuinmanshuisje","3"
"kippenhok","3"
"vogelkooien","3"
"atropa","3"
"graanopslag","3"
"schoffel","3"
"boomaanplant","3"
"diervoeding","3"
"perenboom","2"
"tuinieren","2"
"rundergraven","2"
"mestopslag","2"
"groentetuinen","2"
"kruidentuinen","2"
"bogaard","2"
"angelica","2"
"hooivorken","2"
"tuinder","1"
"tuingereedschap","1"
"laurus","1"
"raapbrood","1"
"varkensstal","1"
"opslaggebouw","1"
"mestbereidingskuilen","1"
"veeteeltgebieden","1"
"ploegkras","1"
"brouwgraan","1"
"kippenhokken","1"
"amaranthus","1"
"kweekvijver","1"
"wijnproductie","1"
"harken","1"
"mestbochten","1"
"bonenhof","1"
"varkensstallen","1"
"hoptuinen","1"
